website,industry,geo,date,pageviews,5xx,4xx,3xx,mom_growth
runbook.com,education,US,2025-11-02,186175129,1703325,6208641,148585,5.2460205075580015
runbook.com,education,US,2025-11-03,197476537,2219140,9363694,243716,16.453524516403046
runbook.com,education,US,2025-11-04,174445628,2086853,8562103,220963,3.0571175823452617
runbook.com,education,US,2025-11-05,187290906,1970612,7914104,215682,12.2949024830304
runbook.com,education,US,2025-11-06,176985207,1856305,8012855,190785,-2.489987446602608
runbook.com,education,US,2025-11-07,199516440,1936845,7656885,156371,22.3752983457143
runbook.com,education,US,2025-11-08,198734875,2278619,9665782,220434,24.128113985250796
runbook.com,education,US,2025-11-09,190377327,2062435,8714212,236385,5.598664306240648
runbook.com,education,US,2025-11-10,186603114,2067948,8151598,173719,9.702812573855995
runbook.com,education,US,2025-11-11,96907256,920423,3577958,80584,-44.947337635012225
runbook.com,education,US,2025-11-12,199139259,1780494,7286167,176747,23.545980493435327
runbook.com,education,US,2025-11-13,198912494,2338242,9315924,265335,7.611138525852897
runbook.com,education,US,2025-11-14,205706815,1783183,7713025,212582,25.3010407006144
runbook.com,education,US,2025-11-15,206356548,1825540,7098905,156665,24.196935506713345
runbook.com,education,US,2025-11-16,196859271,2155530,7991544,226726,10.78627022458378
runbook.com,education,US,2025-11-17,197085071,2300821,9061618,230410,21.619075161209317
runbook.com,education,US,2025-11-18,187992119,1686248,6117051,152220,5.303623687685397
runbook.com,education,US,2025-11-19,181900581,2094948,8348071,213124,7.230928630552349
runbook.com,education,US,2025-11-20,175573504,1429215,5927686,152553,2.193027210374563
runbook.com,education,India,2025-09-21,158257167,1575546,6916252,137387,0.0
runbook.com,education,India,2025-09-22,187880964,1896024,6987861,153049,0.0
runbook.com,education,India,2025-09-23,178483145,2114394,9214317,203705,0.0
runbook.com,education,India,2025-09-24,167033671,1488077,6132618,159978,0.0
runbook.com,education,India,2025-09-25,156597985,1671388,7171145,191818,0.0
runbook.com,education,India,2025-09-26,175760020,1603669,6144273,174890,0.0
runbook.com,education,India,2025-09-27,181188153,1900665,7006200,168225,0.0
runbook.com,education,India,2025-09-28,188938400,1927542,8390079,228664,0.0
runbook.com,education,India,2025-09-29,165294684,1834708,7473851,219196,0.0
runbook.com,education,India,2025-09-30,177611562,2006840,8303073,197510,0.0
runbook.com,education,India,2025-10-01,155696684,1502489,5958122,160897,0.0
runbook.com,education,India,2025-10-02,176888748,1753152,6989594,163007,0.0
runbook.com,education,India,2025-10-03,169626318,1848841,7358473,151045,0.0
runbook.com,education,India,2025-10-04,184209335,2142385,8027642,250594,0.0
runbook.com,education,India,2025-10-05,183570639,2158915,8604014,232794,0.0
runbook.com,education,India,2025-10-06,164115762,1534981,5798497,165864,0.0
runbook.com,education,India,2025-10-07,161172198,1560425,6537009,157882,0.0
runbook.com,education,India,2025-10-08,161563958,1610610,7040622,170547,0.0
runbook.com,education,India,2025-10-09,165121926,1444027,5632645,121197,0.0
runbook.com,education,India,2025-10-10,163556839,1738876,7624820,207887,0.0
runbook.com,education,India,2025-10-11,178000739,1906790,7773636,206204,0.0
runbook.com,education,India,2025-10-12,174562235,1931155,7938875,206168,0.0
runbook.com,education,India,2025-10-13,179282595,2092185,8162208,187705,0.0
runbook.com,education,India,2025-10-14,188493538,2013576,7453629,224257,0.0
runbook.com,education,India,2025-10-15,171575404,1694157,7233684,193795,0.0
runbook.com,education,India,2025-10-16,174765108,1750146,7450796,201150,0.0
runbook.com,education,India,2025-10-17,184290648,1959083,7904634,180346,0.0
runbook.com,education,India,2025-10-18,158961925,1587317,6707546,145615,0.0
runbook.com,education,India,2025-10-19,171194475,1635119,6570812,173594,0.0
runbook.com,education,India,2025-10-20,157028426,1342495,5613220,118032,0.0
runbook.com,education,India,2025-10-21,190480418,2015992,8622236,204301,20.36132177192329
runbook.com,education,India,2025-10-22,189441506,1624322,6001334,137661,0.8306014440079198
runbook.com,education,India,2025-10-23,191442938,2207220,9415156,213524,7.261073867787347
runbook.com,education,India,2025-10-24,194268341,1565498,6443142,133906,16.3048981902577
runbook.com,education,India,2025-10-25,168268812,1427718,5415083,123702,7.452731272372374
runbook.com,education,India,2025-10-26,177141727,1968803,7336105,185698,0.7861327052648264
runbook.com,education,India,2025-10-27,183374934,1472264,5547582,175836,1.2069116903024009
runbook.com,education,India,2025-10-28,197936573,2190628,9176395,248740,4.762490314303498
runbook.com,education,India,2025-10-29,133168010,1476053,5370204,141791,-19.43599952676034
runbook.com,education,India,2025-10-30,201973197,2097981,7749448,249929,13.716243878312381
runbook.com,education,India,2025-10-31,187138878,2116042,7678584,245598,20.19451743750689
runbook.com,education,India,2025-11-01,188565194,1696136,6927378,192874,6.601011162111906
runbook.com,education,India,2025-11-02,173297805,1532110,5886978,173669,2.1644559896654716
runbook.com,education,India,2025-11-03,175797549,1618987,6067913,150346,-4.566427646025648
runbook.com,education,India,2025-11-04,195115701,2311490,9582647,228360,6.289165883439562
runbook.com,education,India,2025-11-05,170507631,1391801,5342514,114124,3.8947319392758875
runbook.com,education,India,2025-11-06,182311118,2051326,8513034,214681,13.115736003054323
runbook.com,education,India,2025-11-07,176536624,1533159,5774234,134927,9.267330526775037
runbook.com,education,India,2025-11-08,193974775,1685832,7362755,194124,17.473663067617075
runbook.com,education,India,2025-11-09,193620768,1908842,7946275,202524,18.3813340877785
runbook.com,education,India,2025-11-10,177650276,1735206,7059392,152609,-0.1968885084235521
runbook.com,education,India,2025-11-11,190815143,1590929,6572895,185641,9.310666765924486
runbook.com,education,India,2025-11-12,180352014,1861465,7194588,177602,0.596499063392071
runbook.com,education,India,2025-11-13,171129766,1927454,7374790,225631,-9.211865926141192
runbook.com,education,India,2025-11-14,67408997,777588,3287027,74077,-60.711736397834734
runbook.com,education,India,2025-11-15,166590181,1597227,6018635,190787,-4.6776654067584245
runbook.com,education,India,2025-11-16,192309088,2179682,9232178,214425,4.350974988161092
runbook.com,education,India,2025-11-17,174793451,2092026,8433643,225678,9.959319503711345
runbook.com,education,India,2025-11-18,200118395,1896405,8141068,222209,16.89535833443223
runbook.com,education,India,2025-11-19,185730416,1534843,6216688,134329,18.278212888665138
runbook.com,education,India,2025-11-20,188661225,1513570,6442489,166945,-0.955055128028961
